Type	Label	Internal ID	Compact Display	Summary	Chronological Position	Narrative Position	Color	Parent	Ongoing	Start Date	Latest Start Date	Earliest End Date	End Date	Duration	Child Range	Tags	Blocked by	Blocks	Constraints	Links	Image (Links only)	Participant	Participant (Compact display)	Observer	Observer (Compact display)	Story Arc	Story Arc (Compact display)	Location	Location (Compact display)	Relates to	Relates to (Compact display)	Tension	Complete
"Event"	"Chip investigates a stasis anomaly"	"EV141"	"Chip investigates a stasis ano"		11	"Scene 1"	#9FA8DA		False	2370-03-16 10:00:42			2370-03-16 10:14:42	"14 minutes"		""	""	""	"Start is after end of Travis Teh's murder 8 hours
End is before start of Hayley Interviews Chip 0 seconds"	""		"Chip Stockwell
Padmala Chuglingham"	"Chip Stockwell
Padmala Chuglingham"	""	""	"Gyges Disc Research"	"Gyges Disc Research"	"Travis Teh’s Apartment
Chuglingham’s Apartment"	"Travis Teh’s Apartment
Chuglingham’s Apartment"	""	""		
"Event"	"Emil in the Morgue"	"EV4"	"Emil in the Morgue"		12		#9FA8DA		False	2370-03-16 10:50:46			2370-03-16 11:32:46	"42 minutes"		""	""	""	"End is before start of Ajent questions Dick and Rick -4 days
Start is after end of Sarah meets Ajent 0 seconds
Start is after end of Ajent is not human 42 seconds"	""		"Emil Kalheri
Special Agent Ajent Jones"	"Emil Kalheri
Special Agent Ajent Jones"	""	""	"Agent Jones wants the Gyges Disc"	"Agent Jones wants the Gyges Di"	""	""	""	""		
"Event"	"Tony meets his drinking buddies"	"EV126"	"Tony meets his drinking buddie"		13		"Blue"		False	2370-03-16 16:00			2370-03-16 16:04:02	"4 minutes, 2 seconds"		""	""	""	"Start is after end of Tony meets Emil 0 seconds
End is before start of Sarah rescues Tony -90 minutes
Start is after start of Murder Day 16 hours
End is before start of Halo meets Avi 0 seconds"	""		"Abe
Major
Haloren Smythe"	"Abe
Major
Haloren Smythe"	""	""	"Tony’s Inheritance"	"Tony’s Inheritance"	"Stickett Inn"	"Stickett Inn"	""	""		
"Event"	"Police interrupt Candid Criminal"	"EV80"	"Police interrupt Candid Crimin"		14		#9FA8DA		False	2370-03-16 16:54:04			2370-03-16 17:36:04	"42 minutes"		""	""	""	"End equals start of Alexander arrives at the bomb  -13 minutes
Start is before start of Tony and Sarah in the explosio -44 minutes"	""		"Alexander Shakti
Hamish Hammersmith"	"Alexander Shakti
Hamish Hammersmith"	""	""	"Stickett Inn Bombing
Alexander loves Sarah"	"Stickett Inn Bombing
Alexander loves Sarah"	"Random Camera Studio"	"Random Camera Studio"	""	""		
"Event"	"Sarah rescues Tony"	"EV99"	"Sarah rescues Tony"		15		#9FA8DA		False	2370-03-16 17:34:02			2370-03-16 17:38:04	"4 minutes, 2 seconds"		""	""	""	"End is before start of Tony and Sarah in the explosio 0 seconds
Start is after end of Sarah checks on Tony 0 seconds
Start is after end of Tony meets his drinking buddie 90 minutes"	""		"Tony Chantara
Abe
Sarah Jacobson
Major
Haloren Smythe"	"Tony Chantara
Abe
Sarah Jacobson
Major
Haloren Smythe"	""	""	"Sarah & Tony
Tony’s Inheritance
Nightclub Vampire"	"Sarah & Tony
Tony’s Inheritance
Nightclub Vampire"	"Stickett Inn"	"Stickett Inn"	""	""		
"Event"	"Tony and Sarah in the explosion"	"EV135"	"Tony and Sarah in the explosio"		16		"Pink"		False	2370-03-16 17:38:04			2370-03-16 17:38:46	"42 seconds"		""	""	""	"Start is after end of Sarah rescues Tony 0 seconds
Start is after start of Police interrupt Candid Crimin 44 minutes
Start is after start of Halo meets Avi 0 seconds"	""		"Tony Chantara
Sarah Jacobson"	"Tony Chantara
Sarah Jacobson"	""	""	"Stickett Inn Bombing
Sarah & Tony
Tony’s Inheritance"	"Stickett Inn Bombing
Sarah & Tony
Tony’s Inheritance"	"Stickett Inn"	"Stickett Inn"	""	""		
"Event"	"Halo meets Avi"	"EV125"	"Halo meets Avi"		17		#9FA8DA		False	2370-03-16 17:38:04			2370-03-16 18:20:04	"42 minutes"		""	""	""	"Start is after end of Tony meets his drinking buddie 0 seconds
Start is before start of Tony and Sarah in the explosio 0 seconds"	""		"Avi Grubler
Haloren Smythe"	"Avi Grubler
Haloren Smythe"	""	""	"Stickett Inn Bombing
Nightclub Vampire"	"Stickett Inn Bombing
Nightclub Vampire"	"Stickett Inn
Avi’s Apartment"	"Stickett Inn
Avi’s Apartment"	""	""		
"Event"	"Alexander arrives at the bomb site"	"EV5"	"Alexander arrives at the bomb "		18		#9FA8DA		False	2370-03-16 17:49:04			2370-03-16 18:06:04	"17 minutes"		""	""	""	"Start equals end of Police interrupt Candid Crimin 13 minutes
End is before start of Sarah & Tony recover 15 minutes"	""		"Alexander Shakti
Tony Chantara
Corporal Sman
Sarah Jacobson
Captain Junkers"	"Alexander Shakti
Tony Chantara
Corporal Sman
Sarah Jacobson
Captain Junkers"	""	""	"Stickett Inn Bombing
Alexander loves Sarah"	"Stickett Inn Bombing
Alexander loves Sarah"	"Stickett Inn"	"Stickett Inn"	""	""		
"Event"	"Sarah & Tony recover"	"EV79"	"Sarah & Tony recover"		19		#9FA8DA		False	2370-03-16 17:51:04			2370-04-21 17:51:04	"1 month, 5 days"		""	""	""	"End is before start of Ajent Finds Tony 0 seconds
Start is after end of Alexander arrives at the bomb  -15 minutes"	""		"Alexander Shakti
Tony Chantara
Sarah Jacobson"	"Alexander Shakti
Tony Chantara
Sarah Jacobson"	""	""	"Sarah & Tony
Alexander loves Sarah"	"Sarah & Tony
Alexander loves Sarah"	"Tony’s Apartment"	"Tony’s Apartment"	""	""		
"Event"	"Ajent questions Dick and Rick"	"EV11"	"Ajent questions Dick and Rick"		20		#9FA8DA		False	2370-04-24 18:55			2370-04-25 18:55	"1 day"		""	""	""	"End is before start of Ajent Finds Tony 30 minutes
Start is after end of Emil in the Morgue 4 days"	""		"Dick van Dyke
Rick van Reich
Special Agent Ajent Jones"	"Dick van Dyke
Rick van Reich
Special Agent Ajent Jones"	""	""	"Agent Jones wants the Gyges Disc"	"Agent Jones wants the Gyges Di"	"Truth"	"Truth"	""	""		
"Event"	"Holy Momma Day"	"EV240"	"Holy Momma Day"		21		#ffffff		False	2370-04-25			2370-04-25	"1 day"		""	""	""	"Start is before start of Ajent Finds Tony 0 seconds"	""		""	""	""	""	""	""	""	""	""	""		
"Event"	"Ajent Finds Tony"	"EV144"	"Ajent Finds Tony"		22		"Pink"		False	2370-04-25 18:53			2370-04-25 19:09	"16 minutes"		""	""	""	"End is before start of Sarah & Tony take refuge in th -45 minutes
Start is after end of Sarah & Tony recover 0 seconds
End is before start of Tony & Sarah Escape from Ajent 0 seconds
Start is after end of Ajent questions Dick and Rick -30 minutes
Start is after start of Holy Momma Day 0 seconds"	""		"Tony Chantara
Sarah Jacobson
Special Agent Ajent Jones"	"Tony Chantara
Sarah Jacobson
Special Agent Ajent Jones"	""	""	"Sarah & Tony
Agent Jones wants the Gyges Disc"	"Sarah & Tony
Agent Jones wants the Gyges Di"	"Tony’s Apartment"	"Tony’s Apartment"	""	""		
"Event"	"Tony & Sarah Escape from Ajent"	"EV153"	"Tony & Sarah Escape from Ajent"		23		#9FA8DA		False	2370-04-25 19:11			2370-04-25 19:53	"42 minutes"		""	""	""	"Start is after end of Ajent Finds Tony 0 seconds
End is before start of Sarah & Tony take refuge in th 0 seconds"	""		""	""	""	""	""	""	""	""	""	""		
"Event"	"Sarah & Tony take refuge in the Memphis Mafia Bar"	"EV43"	"Sarah & Tony take refuge in th"		24		#9FA8DA		False	2370-04-25 19:54:00			2370-04-25 20:36:00	"42 minutes"		""	""	""	"Start is before start of Sarah shows Johnny the Disc -38 minutes
Start is after end of Ajent Finds Tony 45 minutes
Start is after end of Tony & Sarah Escape from Ajent 0 seconds"	""		"Tony Chantara
Sarah Jacobson
Lonnie"	"Tony Chantara
Sarah Jacobson
Lonnie"	""	""	"Great Teacher
Sarah & Tony"	"Great Teacher
Sarah & Tony"	"Memphis Mafia Bar"	"Memphis Mafia Bar"	""	""		
"Event"	"Sarah shows Johnny the Disc"	"EV78"	"Sarah shows Johnny the Disc"		25		#9FA8DA		False	2370-04-25 20:32:00			2370-04-25 20:40:00	"8 minutes"		""	""	""	"Start equals start of Kleo propositions Sarah -8 minutes
Start is after start of Sarah & Tony take refuge in th 38 minutes"	""		"Sarah Jacobson
John Stoat"	"Sarah Jacobson
John Stoat"	""	""	"Gyges Disc Research"	"Gyges Disc Research"	"Memphis Mafia Bar"	"Memphis Mafia Bar"	""	""		
"Event"	"Kleo propositions Sarah"	"EV7"	"Kleo propositions Sarah"		26		#9FA8DA		False	2370-04-25 20:40			2370-04-25 20:50	"10 minutes"		""	""	""	"Start equals start of Sarah shows Johnny the Disc 8 minutes
End is before start of Ajent Mounts a Raid -10 minutes"	""		"Sarah Jacobson
John Stoat
Kleoboulos Windus"	"Sarah Jacobson
John Stoat
Kleoboulos Windus"	""	""	"Prophecy"	"Prophecy"	"Memphis Mafia Bar"	"Memphis Mafia Bar"	""	""		
"Event"	"Ajent Mounts a Raid"	"EV65"	"Ajent Mounts a Raid"		27		#9FA8DA		False	2370-04-25 21:00			2370-04-25 21:18	"18 minutes"		""	""	""	"Start is after end of Kleo propositions Sarah 10 minutes
End is before start of Going to Graceland 0 seconds"	""		"Tony Chantara
Sarah Jacobson
John Stoat
Lonnie
Kleoboulos Windus
Special Agent Ajent Jones"	"Tony Chantara
Sarah Jacobson
John Stoat
Lonnie
Kleoboulos Windus
Special Agent Ajent Jones"	""	""	"The Rise of the Elvi
Agent Jones wants the Gyges Disc"	"The Rise of the Elvi
Agent Jones wants the Gyges Di"	"Memphis Mafia Bar"	"Memphis Mafia Bar"	""	""		
"Event"	"Going to Graceland"	"EV58"	"Going to Graceland"		28		#9FA8DA		False	2370-04-25 21:18			2370-04-25 22:00	"42 minutes"		""	""	""	"End is before start of Vegas Show 0 seconds
Start is after end of Ajent Mounts a Raid 0 seconds"	""		"Tony Chantara
Elmer Elvis
Sarah Jacobson
Chilo Damagetus
Solo Athena
Kleoboulos Windus"	"Tony Chantara
Elmer Elvis
Sarah Jacobson
Chilo Damagetus
Solo Athena
Kleoboulos Windus"	""	""	"Great Teacher
Sarah & Tony
The Rise of the Elvi
Holy Momma"	"Great Teacher
Sarah & Tony
The Rise of the Elvi
Holy Momma"	"the Ghetto"	"the Ghetto"	""	""		
"Event"	"Vegas Show"	"EV83"	"Vegas Show"		29		"Pink"		False	2370-04-25 22:00			2370-04-26 02:00	"4 hours"		""	""	""	"End is before start of The Sages impregnate Sarah -2 hours
Start is after end of Going to Graceland 0 seconds
End is before start of Sarah Rejects the Sages 0 seconds"	""		"Tony Chantara
Sarah Jacobson
Lonnie"	"Tony Chantara
Sarah Jacobson
Lonnie"	""	""	"The Rise of the Elvi
Holy Momma"	"The Rise of the Elvi
Holy Momma"	""	""	""	""		
"Event"	"Sarah Rejects the Sages"	"EV145"	"Sarah Rejects the Sages"		30		#9FA8DA		False	2370-04-26 02:00			2370-04-26 02:15	"15 minutes"		""	""	""	"Start is after end of Vegas Show 0 seconds
End is before start of The Gyges Disc attacks Sarah 0 seconds"	""		"Sarah Jacobson
Chilo Damagetus
Solo Athena
Kleoboulos Windus"	"Sarah Jacobson
Chilo Damagetus
Solo Athena
Kleoboulos Windus"	""	""	"Holy Momma
Prophecy"	"Holy Momma
Prophecy"	"Graceland"	"Graceland"	""	""		
"Event"	"The Gyges Disc attacks Sarah"	"EV160"	"The Gyges Disc attacks Sarah"		31		#9FA8DA		False	2370-04-26 02:15			2370-04-26 04:15	"2 hours"		""	""	""	"End is before start of Tony goes to buy coffee 0 seconds
End is before start of Sarah sees Doctors John  & Nic -3 weeks
Start is after end of Sarah Rejects the Sages 0 seconds"	""		"Sarah Jacobson
Tony Chantara"	"Sarah Jacobson
Tony Chantara"	""	""	"Gyges Disc Research"	"Gyges Disc Research"	""	""	""	""		
"Event"	"The Sages impregnate Sarah"	"EV118"	"The Sages impregnate Sarah"		32		#9FA8DA		False	2370-04-26 05:36			2370-04-26 05:46	"10 minutes"		""	""	""	"Start is before start of Kathy determines the lineage o -43 days, -4 hours
Start is after end of Vegas Show 2 hours
End is before start of Birth of the Dawkins 243 days"	""		"Tony Chantara
Sarah Jacobson
Chilo Damagetus
Lonnie
Kleoboulos Windus"	"Tony Chantara
Sarah Jacobson
Chilo Damagetus
Lonnie
Kleoboulos Windus"	""	""	"Sarah & Tony
Gyges Disc Research
Prophecy"	"Sarah & Tony
Gyges Disc Research
Prophecy"	"the Ghetto"	"the Ghetto"	""	""		
"Event"	"Tony goes to buy coffee"	"EV37"	"Tony goes to buy coffee"		33		#9FA8DA		False	2370-04-26 08:21			2370-04-26 09:03	"42 minutes"		""	""	""	"End is before start of Alexander Arrests Tony 0 seconds
Start is after end of The Gyges Disc attacks Sarah 0 seconds"	""		"Tony Chantara"	"Tony Chantara"	""	""	""	""	"the Ghetto"	"the Ghetto"	""	""		
"Event"	"Alexander Arrests Tony"	"EV129"	"Alexander Arrests Tony"		34		"Pink"		False	2370-04-26 09:03			2370-04-26 09:23	"20 minutes"		""	""	""	"Start is after end of Tony goes to buy coffee 0 seconds
End is before start of Halo discovers Tony has been f -5 hours
End is before start of Alexander visits Hayley -27 hours
End is before start of The Elvi break Tony out 0 seconds
End is before start of Hayley begins investigating 0 seconds"	""		"Alexander Shakti
Tony Chantara"	"Alexander Shakti
Tony Chantara"	""	""	"Dunhilton exerts Power
Alexander loves Sarah"	"Dunhilton exerts Power
Alexander loves Sarah"	"the Ghetto"	"the Ghetto"	""	""		
"Event"	"Halo discovers Tony has been framed"	"EV12"	"Halo discovers Tony has been f"		35		#9FA8DA		False	2370-04-26 14:23:00			2370-04-26 15:05:00	"42 minutes"		""	""	""	"End equals start of Halo takes a vacation -1 days
Start is after end of Alexander Arrests Tony 5 hours"	""		"Alexander Shakti
Police Commissioner
Haloren Smythe
Piotr Dunhilton"	"Alexander Shakti
Police Commissioner
Haloren Smythe
Piotr Dunhilton"	""	""	"Dunhilton exerts Power
Nightclub Vampire"	"Dunhilton exerts Power
Nightclub Vampire"	""	""	""	""		
"Event"	"Alexander visits Hayley"	"EV93"	"Alexander visits Hayley"		36		#9FA8DA		False	2370-04-27 12:23:00			2370-04-27 13:53:00	"1 hour, 30 minutes"		""	""	""	"End is before start of Hayley challenges Alexander ab 0 seconds
Start is after end of Alexander Arrests Tony 27 hours"	""		"Alexander Shakti
Hayley Lanning"	"Alexander Shakti
Hayley Lanning"	""	""	"Alexander loves Sarah
Hayley’s Investigations
Nightclub Vampire"	"Alexander loves Sarah
Hayley’s Investigations
Nightclub Vampire"	""	""	""	""		
"Event"	"Halo takes a vacation"	"EV66"	"Halo takes a vacation"		37		#9FA8DA		False	2370-04-27 15:05:00			2370-05-18 10:45:00	"2 weeks, 6 days, 19 hours, 40 minutes"		""	""	""	"Start equals end of Halo discovers Tony has been f 1 day
End is before start of Gerry becomes Commissioner of  0 seconds"	""		"Police Commissioner
Haloren Smythe"	"Police Commissioner
Haloren Smythe"	""	""	"Nightclub Vampire"	"Nightclub Vampire"	""	""	""	""		
"Event"	"Sarah sees Doctors John  & Nick"	"EV143"	"Sarah sees Doctors John  & Nic"		38		#9FA8DA		False	2370-05-17 04:15			2370-05-26 09:15	"1 week, 2 days, 5 hours"		""	""	""	"End is before start of Kathy visits Sarah -18 hours
Start is after end of The Gyges Disc attacks Sarah 3 weeks
End is before start of Sarah’s boss orders her back t 0 seconds"	""		"Sarah Jacobson
Nancy
Dr Nick
Dr John"	"Sarah Jacobson
Nancy
Dr Nick
Dr John"	""	""	"Holy Momma"	"Holy Momma"	"the Mansion"	"the Mansion"	""	""		
"Event"	"Gerry becomes Commissioner of Police"	"EV36"	"Gerry becomes Commissioner of "		39		#9FA8DA		False	2370-05-18 10:45			2370-05-18 11:45	"1 hour"		""	""	""	"End equals start of Halo goes on a killing spree 0 seconds
Start is after end of Halo takes a vacation 0 seconds
End is before start of Ajent sets himself against Ger -3 hours"	""		"Gerald “Very” Hardman
Piotr Dunhilton
Special Agent Ajent Jones"	"Gerald “Very” Hardman
Piotr Dunhilton
Special Agent Ajent Jones"	""	""	"Gerry’s Rise"	"Gerry’s Rise"	""	""	""	""		
"Event"	"Halo goes on a killing spree"	"EV19"	"Halo goes on a killing spree"		40		#9FA8DA		False	2370-05-18 11:45:00			2370-05-22 11:45:00	"4 days"		""	""	""	"Start equals end of Gerry becomes Commissioner of  0 seconds"	""		"Haloren Smythe"	"Haloren Smythe"	""	""	"Nightclub Vampire"	"Nightclub Vampire"	""	""	""	""		
"Event"	"Ajent sets himself against Gerry"	"EV163"	"Ajent sets himself against Ger"		41		#9FA8DA		False	2370-05-18 14:45			2370-05-18 14:45	"0 seconds"		""	""	""	"Start is after end of Gerry becomes Commissioner of  3 hours
End is before start of The Elvi break Tony out 0 seconds"	""		""	""	""	""	""	""	""	""	""	""		
"Event"	"Sarah’s boss orders her back to the office"	"EV226"	"Sarah’s boss orders her back t"		42		"Purple"		False	2370-05-26 11:21			2370-05-26 11:21	"0 seconds"		""	""	""	"Start is after end of Sarah sees Doctors John  & Nic 0 seconds
End is before start of Sarah learns a co-worker is ge -8 days"	""		""	""	""	""	""	""	""	""	""	""		
"Event"	"Kathy visits Sarah"	"EV164"	"Kathy visits Sarah"		43		"Purple"		False	2370-05-27 03:15			2370-05-27 07:15	"4 hours"		""	""	""	"Start is after end of Sarah sees Doctors John  & Nic 18 hours
End is before start of A battalion of Tulsas protect  -1 days"	""		""	""	""	""	""	""	""	""	""	""		
"Event"	"A battalion of Tulsas protect the mansion"	"EV84"	"A battalion of Tulsas protect "		44		#9FA8DA		False	2370-05-28 07:15			2370-05-28 07:30	"15 minutes"		""	""	""	"Start is after end of Kathy visits Sarah 1 day
End is before start of The Elvi break Tony out -1 days"	""		"Sarah Jacobson
Tulsa McLean"	"Sarah Jacobson
Tulsa McLean"	""	""	"The Rise of the Elvi
Holy Momma"	"The Rise of the Elvi
Holy Momma"	"the Mansion"	"the Mansion"	""	""		
"Event"	"The Elvi break Tony out"	"EV133"	"The Elvi break Tony out"		45		"Pink"		False	2370-05-29 07:30:00			2370-05-29 11:30:00	"4 hours"		""	""	""	"Start is after end of Alexander Arrests Tony 0 seconds
Start is after end of A battalion of Tulsas protect  1 day
End is before start of The CEO convenes a war cabinet 0 seconds
End is before end of Sarah turns over the Gyges Dis 0 seconds
End is before start of Hayley challenges Alexander ab -1 days
Start is after end of Ajent sets himself against Ger 0 seconds"	""		"Tony Chantara
Tulsa McLean
Special Agent Ajent Jones"	"Tony Chantara
Tulsa McLean
Special Agent Ajent Jones"	"Hayley Lanning"	"Hayley Lanning"	"Great Teacher
The Rise of the Elvi
TPlus viral transmission"	"Great Teacher
The Rise of the Elvi
TPlus viral transmission"	"Truth"	"Truth"	""	""		
"Event"	"Sarah turns over the Gyges Disc"	"EV139"	"Sarah turns over the Gyges Dis"		46		#9FA8DA		False	2370-05-29 11:19:00			2370-05-29 11:30:00	"11 minutes"		""	""	""	"End equals start of Sarah and Tony reconcile 0 seconds
End is after end of The Elvi break Tony out 0 seconds
End is before start of Johnny tests the discs -2 weeks"	""		"Tony Chantara
Sarah Jacobson
Eloise Shakti
John Stoat"	"Tony Chantara
Sarah Jacobson
Eloise Shakti
John Stoat"	""	""	"Gyges Disc Research
Eloise wants to retire"	"Gyges Disc Research
Eloise wants to retire"	"the Mansion"	"the Mansion"	""	""		
"Event"	"Sarah and Tony reconcile"	"EV6"	"Sarah and Tony reconcile"		47		#9FA8DA		False	2370-05-29 11:30:00			2370-05-29 11:41:00	"11 minutes"		""	""	""	"Start equals end of Sarah turns over the Gyges Dis 0 seconds"	""		"Tony Chantara
Sarah Jacobson
Eloise Shakti"	"Tony Chantara
Sarah Jacobson
Eloise Shakti"	""	""	"Sarah & Tony"	"Sarah & Tony"	""	""	""	""		
"Event"	"The CEO convenes a war cabinet"	"EV46"	"The CEO convenes a war cabinet"		48		#9FA8DA		False	2370-05-29 12:00			2370-05-29 12:30	"30 minutes"		""	""	""	"Start is after end of The Elvi break Tony out 0 seconds
End is before start of Gerry proposes a solution to t 0 seconds"	""		"Gerald “Very” Hardman
Director of Foreign Affairs
President of the Humpty Doo Tank Battle Reenactment Club
Commissioner of Elvi Rights
Director of Defence
Director of Moral Observance
Director of Freedom
Director of Tourism
Director of Housing
Piotr Dunhilton
Special Agent Ajent Jones
Refrigeration Ombudsman"	"Gerald “Very” Hardman
Director of Foreign Affairs
President of the Humpty Doo Ta
Commissioner of Elvi Rights
Director of Defence
Director of Moral Observance
Director of Freedom
Director of Tourism
Director of Housing
Piotr Dunhilton
Special Agent Ajent Jones
Refrigeration Ombudsman"	""	""	"Dunhilton exerts Power
The Rise of the Elvi"	"Dunhilton exerts Power
The Rise of the Elvi"	""	""	""	""		
"Event"	"Gerry proposes a solution to the Elvi problem"	"EV81"	"Gerry proposes a solution to t"		49		#9FA8DA		False	2370-05-29 12:30			2370-05-29 12:55	"25 minutes"		""	""	""	"Start is after end of The CEO convenes a war cabinet 0 seconds
End is before start of Gerry starts opening labs 0 seconds
End is before start of Ajent hones in on Gerry 0 seconds"	""		"Gerald “Very” Hardman
Piotr Dunhilton"	"Gerald “Very” Hardman
Piotr Dunhilton"	""	""	"Dunhilton exerts Power
Gerry’s Rise
The Rise of the Elvi
Gerry’s Virus"	"Dunhilton exerts Power
Gerry’s Rise
The Rise of the Elvi
Gerry’s Virus"	""	""	""	""		
"Event"	"Gerry starts opening labs"	"EV168"	"Gerry starts opening labs"		50		#9FA8DA		False	2370-05-29 12:55			2370-05-29 12:55	"0 seconds"		""	""	""	"Start is after end of Gerry proposes a solution to t 0 seconds
End is before start of Gerry plans opening the final  2 months"	""		""	""	""	""	""	""	""	""	""	""		
"Event"	"Hayley challenges Alexander about Chanta"	"EV94"	"Hayley challenges Alexander ab"		51		#9FA8DA		False	2370-05-30 12:00			2370-05-30 12:06	"6 minutes"		""	""	""	"Start is after end of Alexander visits Hayley 0 seconds
End is before start of Hayley begins investigating 0 seconds
Start is after end of The Elvi break Tony out 1 day"	""		"Alexander Shakti
Hayley Lanning"	"Alexander Shakti
Hayley Lanning"	""	""	"Hayley’s Investigations
Nightclub Vampire"	"Hayley’s Investigations
Nightclub Vampire"	""	""	""	""		
